brand,filename,status,source,format
MOONPAY,public/logos/moonpay-logo.svg,ok,clearbit:moonpay.com (wrapped),svg
SKRILL,public/logos/skrill-logo.svg,ok,clearbit:skrill.com (wrapped),svg
NETELLER,public/logos/neteller-logo.svg,ok,clearbit:neteller.com (wrapped),svg
BITSA,public/logos/bitsa-logo.svg,ok,clearbit:bitsacard.com (wrapped),svg
WISE,public/logos/wise-logo.svg,ok,clearbit:wise.com (wrapped),svg
LAMA,public/logos/lama-logo.svg,placeholder,placeholder,svg
TRUSTEE PLUS,public/logos/trustee-plus-logo.svg,placeholder,placeholder,svg
BILDERLINGS,public/logos/bilderlings-logo.svg,ok,clearbit:bilderlings.com (wrapped),svg
WIRREX,public/logos/wirrex-logo.svg,placeholder,placeholder,svg
REDOTPAY,public/logos/redotpay-logo.svg,placeholder,placeholder,svg
CFPS,public/logos/cfps-logo.svg,placeholder,placeholder,svg
SUMERIA,public/logos/sumeria-logo.svg,placeholder,placeholder,svg
GENOME,public/logos/genome-logo.svg,ok,clearbit:genome.eu (wrapped),svg
WESTERN UNION,public/logos/western-union-logo.svg,ok,clearbit:westernunion.com (wrapped),svg
XAPO BANK,public/logos/xapo-bank-logo.svg,ok,clearbit:xapo.com (wrapped),svg
SPECTRECOIN,public/logos/spectrecoin-logo.svg,ok,clearbit:spectreproject.io (wrapped),svg
BNKA SE,public/logos/bnka-se-logo.svg,placeholder,placeholder,svg
PREYUS,public/logos/preyus-logo.svg,placeholder,placeholder,svg
BLACKCATCARD,public/logos/blackcatcard-logo.svg,ok,clearbit:blackcatcard.com (wrapped),svg
SWISSMONEY,public/logos/swissmoney-logo.svg,ok,clearbit:swissmoney.com (wrapped),svg
NAGAPAY,public/logos/nagapay-logo.svg,ok,clearbit:nagapay.com (wrapped),svg
VIVID,public/logos/vivid-logo.svg,ok,clearbit:vivid.money (wrapped),svg
PAYSERA,public/logos/paysera-logo.svg,ok,clearbit:paysera.com (wrapped),svg
WU+,public/logos/wu-plus-logo.svg,ok,clearbit:westernunion.com (wrapped),svg
BANKERA,public/logos/bankera-logo.svg,ok,clearbit:bankera.com (wrapped),svg
ICARD,public/logos/icard-logo.svg,ok,clearbit:icard.com (wrapped),svg
DUKASCOPY,public/logos/dukascopy-logo.svg,ok,clearbit:dukascopy.com (wrapped),svg
ZEN,public/logos/zen-logo.svg,ok,clearbit:zen.com (wrapped),svg
BUNQ,public/logos/bunq-logo.svg,ok,clearbit:bunq.com (wrapped),svg
SWISSQUOTE,public/logos/swissquote-logo.svg,ok,clearbit:swissquote.com (wrapped),svg
PAYPAL BUSINESS,public/logos/paypal-business-logo.svg,ok,clearbit:paypal.com (wrapped),svg
WISE BUSINESS,public/logos/wise-business-logo.svg,ok,clearbit:wise.com (wrapped),svg
SUMUP BUSINESS,public/logos/sumup-business-logo.svg,ok,clearbit:sumup.com (wrapped),svg
PAYONEER BUSINESS,public/logos/payoneer-business-logo.svg,ok,clearbit:payoneer.com (wrapped),svg
STRIPE,public/logos/stripe-logo.svg,ok,clearbit:stripe.com (wrapped),svg
OKEO,public/logos/okeo-logo.svg,placeholder,placeholder,svg
KRAKEN BUSINESS,public/logos/kraken-business-logo.svg,ok,clearbit:kraken.com (wrapped),svg
WALLESTER BUSINESS,public/logos/wallester-business-logo.svg,ok,clearbit:wallester.com (wrapped),svg
REVOLUT BUSINESS,public/logos/revolut-business-logo.svg,ok,clearbit:revolut.com (wrapped),svg
ALIOR BUSINESS,public/logos/alior-business-logo.svg,ok,clearbit:aliorbank.pl (wrapped),svg
SANTANDER PL,public/logos/santander-pl-logo.svg,ok,clearbit:santander.pl (wrapped),svg
FINOM NL,public/logos/finom-nl-logo.svg,ok,clearbit:finom.co (wrapped),svg
MONZO BUSINESS,public/logos/monzo-business-logo.svg,ok,clearbit:monzo.com (wrapped),svg
VIVID BUSINESS,public/logos/vivid-business-logo.svg,ok,clearbit:vivid.money (wrapped),svg
VELO PL,public/logos/velo-pl-logo.svg,ok,clearbit:velo.pl (wrapped),svg
ING PL,public/logos/ing-pl-logo.svg,ok,clearbit:ing.pl (wrapped),svg
MILLENIUM BUSINESS,public/logos/millenium-business-logo.svg,placeholder,placeholder,svg
MYPOS EU,public/logos/mypos-eu-logo.svg,ok,clearbit:mypos.com (wrapped),svg
ZEMPLER,public/logos/zempler-logo.svg,ok,clearbit:zimpler.com (wrapped),svg
WAMO BUSINESS UK,public/logos/wamo-business-uk-logo.svg,ok,clearbit:wamo.io (wrapped),svg
N26 BUSINESS,public/logos/n26-business-logo.svg,ok,clearbit:n26.com (wrapped),svg
AIRWALLEX BUSINESS WITHOUT MERCHANT,public/logos/airwallex-business-logo.svg,ok,clearbit:airwallex.com (wrapped),svg
REVOLUT BUSINESS MERCHANT,public/logos/revolut-business-merchant-logo.svg,ok,clearbit:revolut.com (wrapped),svg
KUCOIN,public/logos/kucoin-logo.svg,ok,clearbit:kucoin.com (wrapped),svg
BINGX,public/logos/bingx-logo.svg,ok,clearbit:bingx.com (wrapped),svg
GATE IO,public/logos/gate-io-logo.svg,ok,clearbit:gate.io (wrapped),svg
MEXC,public/logos/mexc-logo.svg,ok,clearbit:mexc.com (wrapped),svg
BYBIT,public/logos/bybit-logo.svg,ok,clearbit:bybit.com (wrapped),svg
KRAKEN,public/logos/kraken-logo.svg,ok,clearbit:kraken.com (wrapped),svg
BIT2ME,public/logos/bit2me-logo.svg,ok,clearbit:bit2me.com (wrapped),svg
BANXE,public/logos/banxe-logo.svg,ok,clearbit:banxe.com (wrapped),svg
COINBASE,public/logos/coinbase-logo.svg,ok,clearbit:coinbase.com (wrapped),svg
QUPPY,public/logos/quppy-logo.svg,ok,clearbit:quppy.com (wrapped),svg
BITMART,public/logos/bitmart-logo.svg,ok,clearbit:bitmart.com (wrapped),svg
WHITEBIT,public/logos/whitebit-logo.svg,ok,clearbit:whitebit.com (wrapped),svg
BLOCKCHAIN,public/logos/blockchain-logo.svg,ok,clearbit:blockchain.com (wrapped),svg
CRYPTO COM,public/logos/crypto-com-logo.svg,ok,clearbit:crypto.com (wrapped),svg
PLENA,public/logos/plena-logo.svg,ok,clearbit:plena.finance (wrapped),svg
NEXO,public/logos/nexo-logo.svg,ok,clearbit:nexo.com (wrapped),svg
BINANCE,public/logos/binance-logo.svg,ok,clearbit:binance.com (wrapped),svg
PAYSAFECARD,public/logos/paysafecard-logo.svg,ok,clearbit:paysafecard.com (wrapped),svg
KRAKEN,public/logos/kraken-custom-logo.svg,ok,clearbit:kraken.com (wrapped),svg
SKRILL,public/logos/skrill-custom-logo.svg,ok,clearbit:skrill.com (wrapped),svg
NETELLER,public/logos/neteller-custom-logo.svg,ok,clearbit:neteller.com (wrapped),svg
CRYPTO COM,public/logos/crypto-com-custom-logo.svg,ok,clearbit:crypto.com (wrapped),svg
SIMPLE,public/logos/simple-logo.svg,ok,clearbit:simple.com (wrapped),svg
COINMERCE,public/logos/coinmerce-logo.svg,placeholder,placeholder,svg
IN1,public/logos/in1-logo.svg,ok,clearbit:in1.com (wrapped),svg
CBTC,public/logos/cbtc-logo.svg,ok,clearbit:cbtc.com (wrapped),svg
COINBASE,public/logos/coinbase-custom-logo.svg,ok,clearbit:coinbase.com (wrapped),svg
WISE CUSTOM,public/logos/wise-custom-logo.svg,ok,clearbit:wise.com (wrapped),svg
GREY,public/logos/grey-logo.svg,ok,clearbit:grey.co (wrapped),svg
BIT2ME,public/logos/bit2me-custom-logo.svg,ok,clearbit:bit2me.com (wrapped),svg
KUCOIN,public/logos/kucoin-custom-logo.svg,ok,clearbit:kucoin.com (wrapped),svg
BLOCKCHAIN,public/logos/blockchain-custom-logo.svg,ok,clearbit:blockchain.com (wrapped),svg
STRIKE EU/UK,public/logos/strike-eu-uk-logo.svg,ok,clearbit:strike.me (wrapped),svg
BYBIT,public/logos/bybit-custom-logo.svg,ok,clearbit:bybit.com (wrapped),svg
PAYSERA,public/logos/paysera-custom-logo.svg,ok,clearbit:paysera.com (wrapped),svg
ZEN,public/logos/zen-custom-logo.svg,ok,clearbit:zen.com (wrapped),svg
BET365,public/logos/bet365-es-logo.svg,ok,clearbit:bet365.es (wrapped),svg
PLAZO,public/logos/plazo-es-logo.svg,ok,clearbit:plazo.es (wrapped),svg
BNEXT,public/logos/bnext-es-logo.svg,ok,clearbit:bnext.es (wrapped),svg
B100,public/logos/b100-es-logo.svg,ok,clearbit:b100.es (wrapped),svg
IMAGIN,public/logos/imagin-es-logo.svg,ok,clearbit:imaginbank.com (wrapped),svg
SANTANDER,public/logos/santander-es-logo.svg,ok,clearbit:bancosantander.es (wrapped),svg
EVOBANCO,public/logos/evobanco-es-logo.svg,ok,clearbit:evobanco.es (wrapped),svg
ING,public/logos/ing-es-logo.svg,ok,clearbit:ing.es (wrapped),svg
N26,public/logos/n26-es-logo.svg,ok,clearbit:n26.com (wrapped),svg
BBVA,public/logos/bbva-es-logo.svg,ok,clearbit:bbva.es (wrapped),svg
CAIXA BANK,public/logos/caixa-bank-es-logo.svg,ok,clearbit:caixabank.es (wrapped),svg
ABANCA,public/logos/abanca-es-logo.svg,ok,clearbit:abanca.com (wrapped),svg
DEUTSCHE BANK,public/logos/deutsche-bank-es-logo.svg,placeholder,placeholder,svg
YAP,public/logos/yap-it-logo.svg,ok,clearbit:yap.app (wrapped),svg
YUH,public/logos/yuh-it-logo.svg,ok,clearbit:yuh.ch (wrapped),svg
FLOWE,public/logos/flowe-it-logo.svg,ok,clearbit:flowe.com (wrapped),svg
BUDDYBANK,public/logos/buddybank-it-logo.svg,ok,clearbit:buddybank.com (wrapped),svg
HYPE,public/logos/hype-it-logo.svg,ok,clearbit:hype.it (wrapped),svg
FINECO,public/logos/fineco-it-logo.svg,ok,clearbit:finecobank.com (wrapped),svg
BBVA,public/logos/bbva-it-logo.svg,ok,clearbit:bbva.es (wrapped),svg
ING,public/logos/ing-it-logo.svg,ok,clearbit:ing.es (wrapped),svg
ISYBANK,public/logos/isybank-it-logo.svg,placeholder,placeholder,svg
N26,public/logos/n26-it-logo.svg,ok,clearbit:n26.com (wrapped),svg
ILLIMITY IT,public/logos/illimity-it-logo.svg,ok,clearbit:illimity.com (wrapped),svg
